Category,Manufacturer,Model,Manuf SN,Description,Asset SN,Date,Location,Condition,Origin
Backup Media,StarTech,S352BU313R,ATQ170615443,18TB EXOS Drive 02 of 21 Case 1,ATQ170615443,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ170615367,18TB EXOS Drive 01 of 21 Case 1,ATQ170615367,05/27/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006251,18TB EXOS Drive 08 of 21,ATQ171006251,05/27/19,LAB,Bad?,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006440,14TB EXOS Drive 25 of 27,ATQ171006440,05/24/19,LAB,Bad?,EAGLE
Backup Media,QNAP,TS-531X,Q178I14253,NAS4BC824 QNAP 4,Q178I14253,05/28/19,Dawn,GOOD,EAGLE
Backup Media,QNAP,TS-531X,Q178I08201,NAS1A957B QNAP 3,Q178I08201,05/28/19,Dawn,GOOD,EAGLE
Backup Media,QNAP,TS-531X,Q178I08200,NAS1A9487 QNAP 2,Q178I08200,05/28/19,Dawn,GOOD,EAGLE
Backup Media,QNAP,TS-531X,Q178I14336,NAS1BC6F8 QNAP 5,Q178I14336,05/28/19,Dawn,GOOD,EAGLE
Backup Media,QNAP,TS-531X,Q178I08188,NAS1A93FF QNAP 1,Q178I08188,05/28/19,Dawn,GOOD,EAGLE
Backup Media,QNAP,TS-531X,Q179I11269,NAS1C87AE QNAP 7,Q179I11269,05/28/19,Dawn,GOOD,EAGLE
Backup Media,QNAP,TS-531X,Q179I04118,NAS1BC72C QNAP 6,Q179I04118,05/28/19,Dawn,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006671,11tb Ironwolf Sata HDD Drive 7 of 8,ATQ171006671,05/24/19,OAK ISLAND MERGE,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006562,11tb Ironwolf Sata HDD Drive 4 of 8,ATQ171006562,05/24/19,OAK ISLAND MERGE,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006629,11tb Ironwolf Sata HDD Drive 6 of 8,ATQ171006629,05/24/19,OAK ISLAND MERGE,GOOD,EAGLE
Backup Media,StarTech,S352BU313R,ATQ171006563,11tb Ironwolf Sata HDD Drive 5 of 8,ATQ171006563,05/24/19,OAK ISLAND MERGE,GOOD,EAGLE
